
<#f0f000>:EX ATTACKS!:</>

Ice Trap (1/2 Bar)								^C
	"Centurion surrounds the opponent with ice."

Ice Shard (1/2 Bar)				_D^C
	"Centurion shoots multiple ice shards."

Ice Launch (1/2 Bar)				_AIR^C
	"Centurion propels himself forward by
	breaking the ice that surrounds him."

Ice Slinger (1/4 Bar)				_AIR_D^C
	"Centurion slings an ice beam that explodes 
	once hitting the ground."


<#f0f000>:STAR STRIKES!:</>

Ice Wall (1 Bar)					_D_DF_F^A
	"Centurion creates an ice spike under his
	opponent. This can act as a wall."

Ice Breaker (1 Bar)					_D_DB_B^A
	"Centurion surrounds himself with ice, then
	breaks it."

Karambit Dance (1 Bar, _AIR OK)    _D_DF_F^B
	"Centurion spins with one of his Karambits.
	This move first goes near the opponent, then
	activates."

Karambit Toss (1 Bar, _AIR OK)		_D_DB_B^B
	"Centurion throws one of his Karambits. As
	long as this doesn't touch him it'll continue
	spinning for 5 seconds."

Grab: "The Move Of All Time" (2 Bars)				_D_DF_F^C
	"Centurions attempts to grab the opponent.
	If successful he will trap the opponent in
	ice, toss his karambit at them and end off
	with a strong punch."
